INFORMATION TYPE,DATE,PERIOD,USEP ($/MWh),LCP ($/MWh),DEMAND (MW),SOLAR(MW),TCL (MW),RUSEP ($/MWh),MAP ($/MWh),MAPT ($/MWh),TPC Applied
USEP,01-Jun-2025,1,125.17,0.0,6501.326,0.0,0.0,125.17,148.61,458.33,No
USEP,01-Jun-2025,2,117.62,0.0,6378.398,0.0,0.0,117.62,148.49,458.33,No
USEP,01-Jun-2025,3,116.58,0.0,6281.767,0.0,0.0,116.58,148.35,458.33,No
USEP,01-Jun-2025,4,101.81,0.0,6194.155,0.0,0.0,101.81,147.90,458.33,No
USEP,01-Jun-2025,5,101.81,0.0,6127.553,0.0,0.0,101.81,147.59,458.33,No
USEP,01-Jun-2025,6,101.12,0.0,6067.932,0.0,0.0,101.12,147.25,458.33,No
USEP,01-Jun-2025,7,100.83,0.0,6020.946,0.0,0.0,100.83,146.93,458.33,No
USEP,01-Jun-2025,8,100.81,0.0,5999.217,0.0,0.0,100.81,146.60,458.33,No
USEP,01-Jun-2025,9,100.78,0.0,5986.245,0.0,0.0,100.78,146.27,458.33,No
USEP,01-Jun-2025,10,100.81,0.0,5991.966,0.0,0.0,100.81,145.94,458.33,No
USEP,01-Jun-2025,11,101.16,0.0,6025.916,0.0,0.0,101.16,145.60,458.33,No
USEP,01-Jun-2025,12,109.14,0.0,6083.126,0.0,0.0,109.14,145.31,458.33,No
USEP,01-Jun-2025,13,114.86,0.0,6151.761,0.0,0.0,114.86,144.89,458.33,No
USEP,01-Jun-2025,14,116.9,0.0,6198.693,0.0,0.0,116.9,144.49,458.33,No
USEP,01-Jun-2025,15,117.84,0.0,6228.453,4.06,0.0,117.84,144.11,458.33,No
USEP,01-Jun-2025,16,125.95,0.0,6300.335,14.86,0.0,125.95,142.40,458.33,No
USEP,01-Jun-2025,17,116.51,0.0,6357.624,59.03,0.0,116.51,140.48,458.33,No
USEP,01-Jun-2025,18,115.01,0.0,6351.973,145.83,0.0,115.01,138.52,458.33,No
USEP,01-Jun-2025,19,114.95,0.0,6409.033,162.42,0.0,114.95,136.57,458.33,No
USEP,01-Jun-2025,20,96.2,0.0,6389.929,280.6,0.0,96.2,135.92,458.33,No
USEP,01-Jun-2025,21,96.2,0.0,6359.622,399.98,0.0,96.2,134.96,458.33,No
USEP,01-Jun-2025,22,96.21,0.0,6334.608,469.61,0.0,96.21,134.53,458.33,No
USEP,01-Jun-2025,23,91.81,0.0,6180.597,637.22,0.0,91.81,134.05,458.33,No
USEP,01-Jun-2025,24,85.46,0.0,6097.067,706.92,0.0,85.46,133.82,458.33,No
USEP,01-Jun-2025,25,79.24,0.0,5964.139,803.49,0.0,79.24,133.47,458.33,No
USEP,01-Jun-2025,26,78.85,0.0,5892.039,872.47,0.0,78.85,133.12,458.33,No
USEP,01-Jun-2025,27,78.85,0.0,5937.708,889.41,0.0,78.85,132.76,458.33,No
USEP,01-Jun-2025,28,77.41,0.0,5974.67,864.73,0.0,77.41,132.37,458.33,No
USEP,01-Jun-2025,29,79.17,0.0,6049.956,813.05,0.0,79.17,132.02,458.33,No
USEP,01-Jun-2025,30,78.85,0.0,6015.911,838.13,0.0,78.85,131.23,458.33,No
USEP,01-Jun-2025,31,79.25,0.0,6087.494,770.69,0.0,79.25,130.87,458.33,No
USEP,01-Jun-2025,32,83.29,0.0,6201.203,647.62,0.0,83.29,130.18,458.33,No
USEP,01-Jun-2025,33,91.56,0.0,6378.513,495.58,0.0,91.56,129.66,458.33,No
USEP,01-Jun-2025,34,96.27,0.0,6585.866,380.1,0.0,96.27,129.10,458.33,No
USEP,01-Jun-2025,35,96.31,0.0,6658.895,331.74,0.0,96.31,128.35,458.33,No
USEP,01-Jun-2025,36,101.0,0.0,6737.7,259.01,0.0,101.0,127.04,458.33,No
USEP,01-Jun-2025,37,114.99,0.0,6956.787,93.83,0.0,114.99,125.25,458.33,No
USEP,01-Jun-2025,38,117.23,0.0,7091.723,46.44,0.0,117.23,122.28,458.33,No
USEP,01-Jun-2025,39,124.16,0.0,7211.654,3.27,0.0,124.16,119.57,458.33,No
USEP,01-Jun-2025,40,125.34,0.0,7258.232,0.0,0.0,125.34,117.15,458.33,No
USEP,01-Jun-2025,41,145.58,0.0,7292.153,0.0,0.0,145.58,115.53,458.33,No
USEP,01-Jun-2025,42,161.7,0.0,7313.474,0.0,0.0,161.7,114.18,458.33,No
USEP,01-Jun-2025,43,144.75,0.0,7281.875,0.0,0.0,144.75,112.47,458.33,No
USEP,01-Jun-2025,44,116.77,0.0,7174.205,0.0,0.0,116.77,110.11,458.33,No
USEP,01-Jun-2025,45,116.71,0.0,7052.788,0.0,0.0,116.71,108.35,458.33,No
USEP,01-Jun-2025,46,115.07,0.0,6942.682,0.0,0.0,115.07,107.23,458.33,No
USEP,01-Jun-2025,47,116.21,0.0,6879.707,0.0,0.0,116.21,106.49,458.33,No
USEP,01-Jun-2025,48,117.11,0.0,6857.814,0.0,0.0,117.11,106.28,458.33,No
USEP,02-Jun-2025,1,139.86,0.0,6791.087,0.0,0.0,139.86,106.58,458.33,No
USEP,02-Jun-2025,2,116.59,0.0,6610.965,0.0,0.0,116.59,106.56,458.33,No
USEP,02-Jun-2025,3,100.91,0.0,6430.792,0.0,0.0,100.91,106.23,458.33,No
USEP,02-Jun-2025,4,96.26,0.0,6329.091,0.0,0.0,96.26,106.12,458.33,No
USEP,02-Jun-2025,5,96.13,0.0,6255.277,0.0,0.0,96.13,106.00,458.33,No
USEP,02-Jun-2025,6,96.03,0.0,6199.434,0.0,0.0,96.03,105.89,458.33,No
USEP,02-Jun-2025,7,95.99,0.0,6156.702,0.0,0.0,95.99,105.79,458.33,No
USEP,02-Jun-2025,8,106.55,0.0,6132.557,0.0,0.0,106.55,105.91,458.33,No
USEP,02-Jun-2025,9,117.07,0.0,6132.329,0.0,0.0,117.07,106.25,458.33,No
USEP,02-Jun-2025,10,125.18,0.0,6151.96,0.0,0.0,125.18,106.76,458.33,No
USEP,02-Jun-2025,11,120.22,0.0,6225.476,0.0,0.0,120.22,107.16,458.33,No
USEP,02-Jun-2025,12,129.64,0.0,6372.305,0.0,0.0,129.64,107.58,458.33,No
USEP,02-Jun-2025,13,167.42,0.0,6545.833,0.0,0.0,167.42,108.68,458.33,No
USEP,02-Jun-2025,14,184.11,0.0,6693.829,0.0,0.0,184.11,110.08,458.33,No
USEP,02-Jun-2025,15,124.83,0.0,6861.189,4.29,0.0,124.83,110.22,458.33,No
USEP,02-Jun-2025,16,150.46,0.0,7091.201,13.58,0.0,150.46,110.73,458.33,No
USEP,02-Jun-2025,17,200.92,0.0,7290.657,60.9,0.0,200.92,112.49,458.33,No
USEP,02-Jun-2025,18,334.5,0.0,7419.365,78.39,0.0,334.5,117.07,458.33,No
USEP,02-Jun-2025,19,315.59,0.0,7432.53,128.61,0.0,315.59,121.25,458.33,No
USEP,02-Jun-2025,20,125.41,0.0,7309.319,295.02,0.0,125.41,121.85,458.33,No
USEP,02-Jun-2025,21,117.17,0.0,7244.714,406.43,0.0,117.17,122.29,458.33,No
USEP,02-Jun-2025,22,115.01,0.0,7124.853,558.69,0.0,115.01,122.68,458.33,No
USEP,02-Jun-2025,23,101.6,0.0,7033.802,657.92,0.0,101.6,122.89,458.33,No
USEP,02-Jun-2025,24,96.33,0.0,6971.652,720.43,0.0,96.33,123.11,458.33,No
USEP,02-Jun-2025,25,96.23,0.0,6878.221,786.86,0.0,96.23,123.47,458.33,No
USEP,02-Jun-2025,26,91.51,0.0,6873.619,812.07,0.0,91.51,123.73,458.33,No
USEP,02-Jun-2025,27,91.09,0.0,6907.127,831.91,0.0,91.09,123.99,458.33,No
USEP,02-Jun-2025,28,91.12,0.0,6980.454,800.39,0.0,91.12,124.27,458.33,No
USEP,02-Jun-2025,29,91.13,0.0,7000.463,787.29,0.0,91.13,124.52,458.33,No
USEP,02-Jun-2025,30,90.85,0.0,6969.326,809.07,0.0,90.85,124.77,458.33,No
USEP,02-Jun-2025,31,91.1,0.0,6950.967,804.24,0.0,91.1,125.02,458.33,No
USEP,02-Jun-2025,32,91.52,0.0,7040.278,747.4,0.0,91.52,125.19,458.33,No
USEP,02-Jun-2025,33,97.57,0.0,7177.718,644.79,0.0,97.57,125.31,458.33,No
USEP,02-Jun-2025,34,101.29,0.0,7286.219,541.86,0.0,101.29,125.42,458.33,No
USEP,02-Jun-2025,35,116.66,0.0,7412.675,412.39,0.0,116.66,125.84,458.33,No
USEP,02-Jun-2025,36,117.2,0.0,7492.384,268.88,0.0,117.2,126.18,458.33,No
USEP,02-Jun-2025,37,122.2,0.0,7520.962,172.1,0.0,122.2,126.33,458.33,No
USEP,02-Jun-2025,38,142.18,0.0,7626.176,53.74,0.0,142.18,126.85,458.33,No
USEP,02-Jun-2025,39,168.01,0.0,7659.381,3.25,0.0,168.01,127.76,458.33,No
USEP,02-Jun-2025,40,139.91,0.0,7647.468,0.0,0.0,139.91,128.07,458.33,No
USEP,02-Jun-2025,41,135.46,0.0,7626.619,0.0,0.0,135.46,127.86,458.33,No
USEP,02-Jun-2025,42,130.75,0.0,7596.436,0.0,0.0,130.75,127.21,458.33,No
USEP,02-Jun-2025,43,125.49,0.0,7530.136,0.0,0.0,125.49,126.81,458.33,No
USEP,02-Jun-2025,44,119.47,0.0,7410.846,0.0,0.0,119.47,126.87,458.33,No
USEP,02-Jun-2025,45,118.88,0.0,7263.376,0.0,0.0,118.88,126.91,458.33,No
USEP,02-Jun-2025,46,116.75,0.0,7125.34,0.0,0.0,116.75,126.95,458.33,No
USEP,02-Jun-2025,47,123.7,0.0,6982.482,0.0,0.0,123.7,127.10,458.33,No
USEP,02-Jun-2025,48,196.82,0.0,6832.507,0.0,0.0,196.82,128.76,458.33,No
USEP,03-Jun-2025,1,200.67,0.0,6686.762,0.0,0.0,200.67,130.03,458.33,No
USEP,03-Jun-2025,2,192.16,0.0,6558.794,0.0,0.0,192.16,131.61,458.33,No
USEP,03-Jun-2025,3,191.38,0.0,6472.873,0.0,0.0,191.38,133.49,458.33,No
USEP,03-Jun-2025,4,151.94,0.0,6406.28,0.0,0.0,151.94,134.65,458.33,No
USEP,03-Jun-2025,5,191.06,0.0,6337.808,0.0,0.0,191.06,136.63,458.33,No
USEP,03-Jun-2025,6,171.7,0.0,6289.017,0.0,0.0,171.7,138.20,458.33,No
USEP,03-Jun-2025,7,151.92,0.0,6251.479,0.0,0.0,151.92,139.37,458.33,No
USEP,03-Jun-2025,8,140.81,0.0,6229.935,0.0,0.0,140.81,140.08,458.33,No
USEP,03-Jun-2025,9,130.69,0.0,6231.117,0.0,0.0,130.69,140.37,458.33,No
USEP,03-Jun-2025,10,151.93,0.0,6263.214,0.0,0.0,151.93,140.92,458.33,No
USEP,03-Jun-2025,11,191.39,0.0,6344.394,0.0,0.0,191.39,142.41,458.33,No
USEP,03-Jun-2025,12,151.92,0.0,6491.352,0.0,0.0,151.92,142.87,458.33,No
USEP,03-Jun-2025,13,154.23,0.0,6663.811,0.0,0.0,154.23,142.60,458.33,No
USEP,03-Jun-2025,14,193.61,0.0,6825.44,0.0,0.0,193.61,142.79,458.33,No
USEP,03-Jun-2025,15,185.26,0.0,6992.765,5.48,0.0,185.26,144.05,458.33,No
USEP,03-Jun-2025,16,257.25,0.0,7229.839,13.26,0.0,257.25,146.28,458.33,No
USEP,03-Jun-2025,17,334.26,0.0,7394.45,67.07,0.0,334.26,149.06,458.33,No
USEP,03-Jun-2025,18,334.76,0.0,7451.938,122.61,0.0,334.76,149.06,458.33,No
USEP,03-Jun-2025,19,169.49,0.0,7405.851,226.03,0.0,169.49,146.02,458.33,No
USEP,03-Jun-2025,20,126.43,0.0,7320.666,355.59,0.0,126.43,146.04,458.33,No
USEP,03-Jun-2025,21,125.36,0.0,7295.184,450.97,0.0,125.36,146.21,458.33,No
USEP,03-Jun-2025,22,115.04,0.0,7238.78,529.16,0.0,115.04,146.21,458.33,No
USEP,03-Jun-2025,23,111.71,0.0,7188.429,592.69,0.0,111.71,146.42,458.33,No
USEP,03-Jun-2025,24,124.83,0.0,7356.718,484.24,0.0,124.83,147.01,458.33,No
USEP,03-Jun-2025,25,126.27,0.0,7297.928,467.78,0.0,126.27,147.64,458.33,No
USEP,03-Jun-2025,26,666.91,0.0,7552.059,180.52,0.0,666.91,159.63,458.33,No
USEP,03-Jun-2025,27,200.94,0.0,7381.722,342.98,0.0,200.94,161.92,458.33,No
USEP,03-Jun-2025,28,334.77,0.0,7595.703,182.47,7.0,334.77,166.99,458.33,No
USEP,03-Jun-2025,29,419.58,4500.0,7651.685,121.06,7.0,419.58,173.84,458.33,No
USEP,03-Jun-2025,30,301.67,4500.0,7604.255,107.43,2.17,301.67,178.23,458.33,No
USEP,03-Jun-2025,31,153.0,0.0,7488.552,191.89,0.0,153.0,179.52,458.33,No
USEP,03-Jun-2025,32,124.68,0.0,7376.235,298.68,0.0,124.68,180.21,458.33,No
USEP,03-Jun-2025,33,109.31,0.0,7362.881,319.47,0.0,109.31,180.45,458.33,No
USEP,03-Jun-2025,34,96.37,0.0,7396.085,264.56,0.0,96.37,180.35,458.33,No
USEP,03-Jun-2025,35,96.37,0.0,7402.432,246.96,0.0,96.37,179.93,458.33,No
USEP,03-Jun-2025,36,96.37,0.0,7325.824,247.63,0.0,96.37,179.49,458.33,No
USEP,03-Jun-2025,37,117.04,0.0,7318.762,182.68,0.0,117.04,179.39,458.33,No
USEP,03-Jun-2025,38,123.3,0.0,7398.406,85.39,0.0,123.3,178.99,458.33,No
USEP,03-Jun-2025,39,115.3,0.0,7492.648,8.39,0.0,115.3,177.89,458.33,No
USEP,03-Jun-2025,40,125.25,0.0,7516.504,0.0,0.0,125.25,177.59,458.33,No
USEP,03-Jun-2025,41,200.98,0.0,7522.805,0.0,0.0,200.98,178.95,458.33,No
USEP,03-Jun-2025,42,201.01,0.0,7504.367,0.0,0.0,201.01,180.42,458.33,No
USEP,03-Jun-2025,43,125.34,0.0,7441.452,0.0,0.0,125.34,180.41,458.33,No
USEP,03-Jun-2025,44,117.24,0.0,7317.962,0.0,0.0,117.24,180.37,458.33,No
USEP,03-Jun-2025,45,125.49,0.0,7170.035,0.0,0.0,125.49,180.51,458.33,No
USEP,03-Jun-2025,46,118.46,0.0,7039.483,0.0,0.0,118.46,180.54,458.33,No
USEP,03-Jun-2025,47,110.88,0.0,6894.885,0.0,0.0,110.88,180.27,458.33,No
USEP,03-Jun-2025,48,108.53,0.0,6762.122,0.0,0.0,108.53,178.43,458.33,No
USEP,04-Jun-2025,1,117.07,0.0,6623.991,0.0,0.0,117.07,176.69,458.33,No
USEP,04-Jun-2025,2,116.67,0.0,6501.361,0.0,0.0,116.67,175.12,458.33,No
USEP,04-Jun-2025,3,111.34,0.0,6386.326,0.0,0.0,111.34,173.45,458.33,No
USEP,04-Jun-2025,4,100.55,0.0,6303.133,0.0,0.0,100.55,172.38,458.33,No
USEP,04-Jun-2025,5,104.65,0.0,6244.144,0.0,0.0,104.65,170.58,458.33,No
USEP,04-Jun-2025,6,100.66,0.0,6190.796,0.0,0.0,100.66,169.10,458.33,No
USEP,04-Jun-2025,7,96.26,0.0,6154.475,0.0,0.0,96.26,167.94,458.33,No
USEP,04-Jun-2025,8,96.23,0.0,6126.866,0.0,0.0,96.23,167.01,458.33,No
USEP,04-Jun-2025,9,95.79,0.0,6127.667,0.0,0.0,95.79,166.29,458.33,No
USEP,04-Jun-2025,10,104.03,0.0,6164.763,0.0,0.0,104.03,165.29,458.33,No
USEP,04-Jun-2025,11,95.79,0.0,6243.567,0.0,0.0,95.79,163.30,458.33,No
USEP,04-Jun-2025,12,100.96,0.0,6384.939,0.0,0.0,100.96,162.24,458.33,No
USEP,04-Jun-2025,13,124.78,0.0,6569.008,0.0,0.0,124.78,161.62,458.33,No
USEP,04-Jun-2025,14,144.89,0.0,6741.099,0.0,0.0,144.89,160.61,458.33,No
USEP,04-Jun-2025,15,126.74,0.0,6928.095,3.08,0.0,126.74,159.39,458.33,No
USEP,04-Jun-2025,16,186.34,0.0,7162.068,14.54,0.0,186.34,157.91,458.33,No
USEP,04-Jun-2025,17,149.99,0.0,7353.095,53.82,0.0,149.99,154.07,458.33,No
USEP,04-Jun-2025,18,200.93,0.0,7410.966,117.64,0.0,200.93,151.28,458.33,No
USEP,04-Jun-2025,19,114.05,0.0,7390.196,171.54,0.0,114.05,150.13,458.33,No
USEP,04-Jun-2025,20,96.38,0.0,7287.118,352.47,0.0,96.38,149.50,458.33,No
USEP,04-Jun-2025,21,96.37,0.0,7279.037,460.63,0.0,96.37,148.90,458.33,No
USEP,04-Jun-2025,22,97.18,0.0,7330.924,488.01,0.0,97.18,148.53,458.33,No
USEP,04-Jun-2025,23,96.21,0.0,7233.884,555.65,0.0,96.21,148.20,458.33,No
USEP,04-Jun-2025,24,96.34,0.0,7234.555,499.19,0.0,96.34,147.61,458.33,No
USEP,04-Jun-2025,25,96.35,0.0,7180.199,522.95,0.0,96.35,146.99,458.33,No
