ChargeBoxId,primary_mode,secondary_mode,user_count
170001681,-1.0,residential,19
DELDC0008,-1.0,residential,237
DELDC0009,-1.0,residential,214
DELDC0010,-1.0,residential,68
DELDC0014,-1.0,residential,59
DelAC0004,-1.0,residential,9
DelAC0090,-1.0,industrial,3
DelAC0099,1.0,residential,1
DelAC0145,-1.0,residential,10
DelAC0307,-1.0,residential,6
DelAC0309,-1.0,residential,5
DelAC0335,-1.0,residential,20
DelAC0482,-1.0,residential,2
DelAC0484,-1.0,residential,3
DelDC0001,-1.0,residential,197
DelDC0002,-1.0,residential,172
DelDC0003,-1.0,residential,112
DelDC0004,-1.0,residential,110
DelDC0005,-1.0,residential,83
DelDC0006,-1.0,residential,198
DelDC0007,-1.0,residential,210
DelDC0011,-1.0,residential,146
DelDC0012,-1.0,residential,72
DelDC0013,-1.0,residential,93
SCAC0043,-1.0,residential,16
SCAC0108,-1.0,residential,5
SCAC0140,-1.0,residential,9
SCAC0148,-1.0,residential,17
SCAC0188,-1.0,residential,4
SCAC0193,-1.0,residential,5
SCAC0194,-1.0,residential,10
SCAC0232,-1.0,residential,8
SCAC0233,-1.0,,6
SCAC0234,-1.0,residential,11
SCAC0247,-1.0,residential,5
SCAC0248,-1.0,residential,9
SCAC0249,-1.0,residential,4
SCAC0254,-1.0,residential,8
SCAC0266,-1.0,residential,52
SCAC0267,-1.0,residential,28
SCAC0268,-1.0,residential,36
SCAC0269,-1.0,residential,32
SCAC0270,-1.0,residential,29
SCAC0271,-1.0,residential,8
SCAC0272,-1.0,,8
SCAC0273,-1.0,residential,8
SCAC0274,-1.0,,8
SCAC0275,-1.0,residential,10
SCAC0276,-1.0,residential,8
SCAC0277,-1.0,residential,15
SCAC0278,-1.0,residential,19
SCAC0279,-1.0,residential,13
SCAC0280,-1.0,residential,12
SCAC0281,-1.0,residential,15
SCAC0282,-1.0,residential,13
SCAC0283,-1.0,residential,10
SCAC0284,-1.0,residential,10
SCAC0285,1.0,residential,8
SCAC0286,-1.0,residential,4
SCAC0287,-1.0,residential,5
SCAC0288,1.0,,3
SCAC0292,-1.0,residential,17
SCAC0293,-1.0,residential,30
SCAC0294,-1.0,residential,34
SCAC0295,-1.0,residential,14
SCAC0296,-1.0,residential,25
SCAC0297,-1.0,residential,17
SCAC0298,-1.0,residential,11
SCAC0299,-1.0,residential,8
SCAC0300,-1.0,residential,9
SCAC0301,-1.0,industrial,11
SCAC0302,-1.0,residential,17
SCAC0303,-1.0,residential,16
SCAC0304,-1.0,residential,6
SCAC0305,-1.0,residential,10
SCAC0306,-1.0,residential,7
SCAC0307,-1.0,residential,14
SCAC0308,-1.0,residential,13
SCAC0309,-1.0,residential,10
SCAC0310,-1.0,residential,58
SCAC0311,-1.0,residential,63
SCAC0312,-1.0,residential,65
SCAC0313,-1.0,residential,9
SCAC0314,-1.0,residential,9
SCAC0315,-1.0,industrial,10
SCAC0316,-1.0,residential,25
SCAC0317,-1.0,residential,20
SCAC0318,-1.0,residential,27
SCAC0319,-1.0,residential,14
SCAC0320,-1.0,residential,7
SCAC0321,-1.0,residential,8
SCAC0322,-1.0,residential,23
SCAC0323,-1.0,residential,10
SCAC0324,-1.0,residential,7
SCAC0325,-1.0,residential,21
SCAC0326,-1.0,residential,18
SCAC0327,-1.0,residential,14
SCAC0328,-1.0,residential,21
SCAC0329,1.0,residential,11
SCAC0330,-1.0,residential,17
SCAC0331,-1.0,residential,8
SCAC0332,-1.0,residential,5
SCAC0333,-1.0,,2
SCAC0334,-1.0,residential,17
SCAC0335,-1.0,residential,12
SCAC0336,-1.0,residential,10
SCAC0337,-1.0,residential,3
SCAC0338,-1.0,residential,10
SCAC0339,-1.0,residential,7
SCAC0340,-1.0,residential,7
SCAC0341,1.0,residential,11
SCAC0342,-1.0,residential,1
SCAC0343,-1.0,residential,21
SCAC0344,-1.0,residential,28
SCAC0345,-1.0,residential,22
SCAC0346,-1.0,residential,21
SCAC0347,-1.0,residential,24
SCAC0348,-1.0,residential,27
SCAC0349,-1.0,residential,23
SCAC0350,-1.0,residential,23
SCAC0351,-1.0,industrial,18
SCAC0352,-1.0,residential,17
SCAC0353,-1.0,residential,18
SCAC0354,-1.0,residential,17
SCAC0355,-1.0,residential,15
SCAC0356,-1.0,residential,22
SCAC0357,-1.0,residential,20
SCAC0358,-1.0,residential,18
SCAC0359,-1.0,residential,24
SCAC0360,-1.0,industrial,23
SCAC0364,-1.0,residential,3
SCAC0365,-1.0,residential,7
SCAC0366,-1.0,industrial,2
SCAC0367,1.0,,11
SCAC0368,-1.0,residential,17
SCAC0369,-1.0,residential,12
SCAC0370,1.0,,1
SCAC0371,1.0,,2
SCAC0372,1.0,,3
SCAC0379,1.0,residential,5
SCAC0380,-1.0,residential,12
SCAC0381,-1.0,residential,5
SCAC0382,-1.0,residential,42
SCAC0400,1.0,residential,7
SCAC0401,-1.0,residential,11
SCAC0402,-1.0,residential,12
SCAC0825,-1.0,residential,6
SCAC0826,-1.0,residential,11
SCAC0827,-1.0,residential,8
SCAC0828,-1.0,residential,5
SCAC0829,-1.0,residential,2
SCAC0830,1.0,residential,2
SCAC0831,-1.0,residential,2
SCAC0832,-1.0,residential,7
SCAC0833,-1.0,residential,2
SCAC0834,-1.0,residential,5
SCAC0835,-1.0,residential,7
SCAC0836,-1.0,residential,8
SCAC0837,-1.0,industrial,5
SCAC0838,-1.0,industrial,5
SCAC0839,-1.0,industrial,8
SCAC0840,-1.0,residential,7
SCAC0841,-1.0,,4
SCAC0842,-1.0,,2
SCAC0844,-1.0,residential,15
SCAC0845,-1.0,residential,9
SCAC0846,-1.0,residential,8
SCAC0847,-1.0,industrial,8
SCAC0848,-1.0,residential,10
SCAC0849,-1.0,,3
SCAC0850,-1.0,residential,6
SCAC0851,-1.0,,2
SCAC0852,-1.0,,6
SCAC0853,1.0,,8
SCAC0854,-1.0,,3
SCAC0855,-1.0,residential,22
SCAC0856,-1.0,residential,26
SCAC0857,1.0,residential,31
SCAC0870,-1.0,residential,10
SCAC0871,-1.0,residential,18
SCAC0872,-1.0,residential,58
SCAC0873,-1.0,residential,55
SCAC0874,-1.0,residential,83
SCAC0875,-1.0,residential,84
SCAC0876,-1.0,residential,49
SCAC0877,-1.0,residential,50
SCAC0878,-1.0,residential,39
SCAC0879,-1.0,residential,63
SCAC0880,-1.0,residential,50
SCAC0881,-1.0,residential,90
SCAC0882,-1.0,residential,84
SCAC0883,-1.0,residential,43
SCAC0884,-1.0,residential,18
SCAC0885,-1.0,residential,34
SCAC0886,-1.0,residential,44
SCAC0887,1.0,,1
SCAC0888,-1.0,residential,6
SCAC0889,-1.0,residential,10
SCAC0890,-1.0,residential,8
SCAC0891,-1.0,residential,9
SCAC0892,-1.0,residential,5
SCAC0893,-1.0,residential,20
SCAC0894,-1.0,residential,27
SCAC0895,-1.0,residential,16
SCAC0896,1.0,residential,10
SCAC0897,-1.0,industrial,10
SCAC0898,1.0,,1
SCAC0899,-1.0,residential,4
SCAC0900,-1.0,residential,8
SCAC0901,-1.0,residential,4
SCAC0902,-1.0,,1
SCAC0903,-1.0,residential,4
SCAC0904,-1.0,residential,6
SCAC0905,-1.0,,1
SCAC0906,-1.0,residential,4
SCAC0907,1.0,industrial,5
SCAC0908,-1.0,,3
SCAC0909,-1.0,,2
SCAC0910,1.0,,7
SCAC0914,1.0,,1
SCAC0915,-1.0,residential,1
SCAC0916,1.0,,1
SCAC0917,-1.0,residential,8
SCAC0918,-1.0,residential,10
SCAC0919,-1.0,residential,10
SCAC0920,-1.0,residential,7
SCAC0921,-1.0,residential,11
SCAC0922,-1.0,residential,10
SCAC0923,1.0,residential,6
SCAC0924,-1.0,residential,8
SCAC0925,-1.0,,2
SCAC0926,-1.0,,4
SCAC0927,-1.0,,2
SCAC0928,-1.0,residential,2
SCAC0935,1.0,residential,3
SCAC0936,-1.0,residential,1
SCAC0937,-1.0,,2
SCAC0962,1.0,,1
SCAC0963,-1.0,residential,3
SCAC0964,-1.0,residential,4
SCAC0983,-1.0,,4
SCAC0984,-1.0,residential,9
SCAC0985,-1.0,residential,5
SCAC1004,-1.0,residential,10
SCAC1005,1.0,residential,3
SCAC1006,-1.0,residential,3
SCAC1007,-1.0,residential,6
SCAC1008,-1.0,residential,6
SCAC1009,-1.0,residential,3
SCAC1010,-1.0,residential,4
SCAC1011,1.0,,1
SCAC1012,1.0,,1
SCAC1013,-1.0,residential,6
SCAC1014,-1.0,,2
SCAC1015,1.0,residential,3
SCAC1016,-1.0,residential,4
SCAC1017,1.0,,3
SCAC1018,1.0,residential,4
SCAC1019,-1.0,residential,3
SCAC1020,-1.0,,2
SCAC1021,-1.0,residential,6
SCAC1022,1.0,residential,8
SCAC1023,-1.0,residential,6
SCAC1024,1.0,,4
SCAC1025,1.0,residential,8
SCAC1027,-1.0,,3
SCAC1028,-1.0,,2
SCAC1029,-1.0,residential,2
SCAC1030,-1.0,residential,4
SCAC1031,-1.0,,2
SCAC1032,-1.0,,4
SCAC1033,-1.0,residential,3
SCAC1034,1.0,,1
SCAC1035,1.0,residential,6
SCAC1036,1.0,,3
SCAC1103,-1.0,residential,1
SCAC1104,-1.0,residential,2
SCAC1105,-1.0,residential,4
SCAC1106,-1.0,residential,3
SCAC1107,-1.0,residential,4
SCAC1121,1.0,industrial,3
SCAC1122,-1.0,residential,38
SCAC1123,-1.0,residential,26
SCDC0016,-1.0,residential,93
SCDC0022,-1.0,residential,17
SCDC0027,-1.0,residential,154
SCDC0033,-1.0,residential,28
SCDC0034,-1.0,residential,12
SCDC0035,-1.0,residential,28
SCDC0036,-1.0,residential,47
SCDC0038,-1.0,residential,48
ScDC0037,-1.0,residential,116
WBAC0058,1.0,residential,13
WBAC0059,1.0,residential,6
WBAC0075,-1.0,residential,56
WBAC0089,1.0,residential,41
WBAC0125,-1.0,industrial,4
WBAC0133,1.0,residential,1
WBAC0139,-1.0,industrial,3
WBAC0141,-1.0,industrial,3
WBAC0144,1.0,,1
WBAC0151,-1.0,industrial,11
WBAC0156,-1.0,residential,13
WBAC0157,-1.0,industrial,9
WBAC0184,1.0,,1
WBAC0229,-1.0,residential,4
WBAC0268,-1.0,residential,2
WBAC0271,-1.0,residential,27
WBAC0297,-1.0,,1
WBAC0301,-1.0,residential,6
WBAC0302,-1.0,,1
WBAC0303,-1.0,residential,3
akw232100005ad,-1.0,industrial,239
delac0001,-1.0,residential,20
delac0002,-1.0,residential,16
delac0003,-1.0,residential,26
delac0005,-1.0,residential,11
delac0006,-1.0,residential,12
delac0007,-1.0,residential,36
delac0008,-1.0,residential,49
delac0009,-1.0,residential,22
delac0010,-1.0,residential,58
delac0011,-1.0,residential,59
delac0012,-1.0,residential,56
delac0013,-1.0,residential,46
delac0014,-1.0,residential,46
delac0015,-1.0,residential,32
delac0016,-1.0,residential,28
delac0017,-1.0,residential,21
delac0018,-1.0,residential,31
delac0019,-1.0,residential,45
delac0020,-1.0,residential,42
delac0021,-1.0,residential,43
delac0022,-1.0,residential,54
delac0023,-1.0,residential,47
delac0024,-1.0,residential,57
delac0027,-1.0,residential,146
delac0028,-1.0,residential,138
delac0029,-1.0,residential,108
delac0030,-1.0,residential,131
delac0031,-1.0,residential,110
delac0032,-1.0,residential,96
delac0033,-1.0,residential,109
delac0034,-1.0,residential,93
delac0035,-1.0,residential,93
delac0036,-1.0,residential,31
delac0037,-1.0,residential,31
delac0038,-1.0,residential,32
delac0039,-1.0,residential,30
delac0040,-1.0,residential,30
delac0041,-1.0,residential,15
delac0042,-1.0,residential,46
delac0043,-1.0,residential,63
delac0044,-1.0,residential,58
delac0045,-1.0,residential,63
delac0046,-1.0,residential,70
delac0047,-1.0,residential,48
delac0048,-1.0,residential,26
delac0049,-1.0,residential,29
delac0050,-1.0,residential,31
delac0051,-1.0,residential,17
delac0052,-1.0,residential,40
delac0053,-1.0,residential,44
delac0057,-1.0,residential,41
delac0058,-1.0,residential,71
delac0059,-1.0,residential,80
delac0060,-1.0,residential,20
delac0061,-1.0,residential,56
delac0062,-1.0,residential,63
delac0063,-1.0,residential,29
delac0064,-1.0,residential,42
delac0065,-1.0,residential,46
delac0066,-1.0,residential,47
delac0067,-1.0,residential,62
delac0068,-1.0,residential,75
delac0069,-1.0,residential,25
delac0070,-1.0,residential,36
delac0071,-1.0,residential,30
delac0072,-1.0,residential,90
delac0073,-1.0,residential,80
delac0074,-1.0,residential,95
delac0075,-1.0,residential,26
delac0076,-1.0,residential,50
delac0077,-1.0,residential,66
delac0078,-1.0,residential,48
delac0079,-1.0,residential,41
delac0080,-1.0,residential,32
delac0081,-1.0,residential,62
delac0082,-1.0,residential,52
delac0083,-1.0,residential,62
delac0084,-1.0,residential,32
delac0085,-1.0,residential,27
delac0086,-1.0,residential,36
delac0087,-1.0,residential,27
delac0088,-1.0,residential,30
delac0089,-1.0,residential,29
delac0091,-1.0,residential,11
delac0092,-1.0,residential,13
delac0093,-1.0,residential,14
delac0094,-1.0,residential,15
delac0095,-1.0,residential,17
delac0096,-1.0,residential,22
delac0097,-1.0,residential,36
delac0098,-1.0,residential,44
delac0100,-1.0,residential,19
delac0101,-1.0,residential,22
delac0102,-1.0,residential,55
delac0103,-1.0,residential,39
delac0104,-1.0,residential,42
delac0105,-1.0,residential,17
delac0106,-1.0,residential,12
delac0107,-1.0,residential,17
delac0108,-1.0,residential,35
delac0109,-1.0,residential,36
delac0110,-1.0,residential,34
delac0111,-1.0,residential,64
delac0112,-1.0,residential,51
delac0113,-1.0,residential,45
delac0114,-1.0,residential,31
delac0115,-1.0,residential,40
delac0116,-1.0,residential,36
delac0117,-1.0,residential,37
delac0118,-1.0,residential,33
delac0119,-1.0,residential,27
delac0120,-1.0,residential,30
delac0121,-1.0,residential,56
delac0122,-1.0,residential,51
delac0126,-1.0,residential,36
delac0127,-1.0,residential,36
delac0128,-1.0,residential,21
delac0129,-1.0,residential,96
delac0130,-1.0,residential,110
delac0131,-1.0,residential,37
delac0132,-1.0,residential,68
delac0133,-1.0,residential,57
delac0134,-1.0,residential,63
delac0135,-1.0,residential,13
delac0136,-1.0,residential,21
delac0137,-1.0,residential,20
delac0138,-1.0,residential,22
delac0139,-1.0,residential,48
delac0140,-1.0,residential,37
delac0141,-1.0,residential,96
delac0142,-1.0,residential,95
delac0143,-1.0,residential,75
delac0144,-1.0,residential,12
delac0146,-1.0,residential,14
delac0147,-1.0,residential,18
delac0148,-1.0,residential,43
delac0149,-1.0,residential,25
delac0150,-1.0,residential,48
delac0151,-1.0,residential,61
delac0152,-1.0,residential,56
delac0153,-1.0,residential,58
delac0154,-1.0,residential,64
delac0155,-1.0,residential,23
delac0156,-1.0,residential,21
delac0157,-1.0,residential,23
delac0158,-1.0,residential,36
delac0159,-1.0,residential,66
delac0160,-1.0,residential,69
delac0161,-1.0,residential,59
delac0162,-1.0,residential,36
delac0163,-1.0,residential,37
delac0164,-1.0,residential,49
delac0165,-1.0,residential,74
delac0166,-1.0,residential,71
delac0167,-1.0,residential,57
delac0168,-1.0,industrial,28
delac0169,-1.0,industrial,26
delac0170,-1.0,residential,28
delac0171,-1.0,residential,24
delac0172,-1.0,residential,23
delac0173,-1.0,residential,22
delac0174,-1.0,residential,45
delac0175,-1.0,residential,47
delac0176,-1.0,residential,43
delac0177,-1.0,residential,9
delac0178,-1.0,residential,8
delac0179,-1.0,residential,6
delac0180,-1.0,residential,9
delac0181,-1.0,residential,11
delac0182,-1.0,residential,20
delac0183,-1.0,residential,59
delac0184,-1.0,residential,43
delac0185,-1.0,residential,41
delac0186,-1.0,,13
delac0187,-1.0,residential,12
delac0188,-1.0,residential,18
delac0189,-1.0,residential,34
delac0190,-1.0,residential,24
delac0191,-1.0,residential,44
delac0192,-1.0,residential,45
delac0193,-1.0,residential,28
delac0194,-1.0,residential,39
delac0195,-1.0,residential,37
delac0196,-1.0,residential,41
delac0197,-1.0,residential,37
delac0198,-1.0,residential,36
delac0199,-1.0,residential,33
delac0200,-1.0,residential,29
delac0201,-1.0,residential,52
delac0202,-1.0,residential,40
delac0203,-1.0,residential,41
delac0204,-1.0,residential,65
delac0205,-1.0,residential,64
delac0206,-1.0,residential,57
delac0207,-1.0,residential,31
delac0208,-1.0,residential,32
delac0209,-1.0,residential,19
delac0210,-1.0,residential,53
delac0211,-1.0,residential,52
delac0212,-1.0,residential,54
delac0213,-1.0,residential,32
delac0214,-1.0,residential,38
delac0215,-1.0,residential,42
delac0216,-1.0,residential,104
delac0217,-1.0,residential,64
delac0218,-1.0,residential,47
delac0219,-1.0,residential,42
delac0220,-1.0,residential,53
delac0221,-1.0,residential,42
delac0222,-1.0,residential,30
delac0223,-1.0,residential,19
delac0224,-1.0,residential,26
delac0225,-1.0,residential,35
delac0226,-1.0,residential,33
delac0227,-1.0,residential,30
delac0228,-1.0,industrial,26
delac0229,-1.0,residential,35
delac0230,-1.0,residential,22
delac0231,-1.0,industrial,13
delac0232,-1.0,residential,27
delac0233,-1.0,residential,26
delac0234,-1.0,residential,23
delac0235,-1.0,residential,35
delac0236,-1.0,residential,29
delac0237,-1.0,industrial,32
delac0238,-1.0,industrial,23
delac0239,-1.0,residential,22
delac0240,-1.0,residential,28
delac0241,-1.0,residential,30
delac0242,-1.0,residential,32
delac0243,-1.0,residential,34
delac0244,-1.0,residential,35
delac0245,-1.0,residential,41
delac0246,-1.0,residential,44
delac0247,-1.0,residential,30
delac0248,-1.0,residential,46
delac0249,-1.0,residential,41
delac0250,-1.0,residential,33
delac0251,-1.0,residential,25
delac0252,-1.0,residential,20
delac0253,-1.0,residential,27
delac0254,-1.0,residential,38
delac0255,-1.0,residential,43
delac0256,-1.0,residential,36
delac0257,-1.0,residential,26
delac0261,-1.0,residential,41
delac0262,-1.0,residential,52
delac0263,-1.0,industrial,28
delac0264,-1.0,residential,6
delac0265,-1.0,residential,24
delac0266,-1.0,industrial,10
delac0267,-1.0,residential,16
delac0268,-1.0,residential,15
delac0269,-1.0,residential,20
delac0270,-1.0,residential,51
delac0271,-1.0,residential,52
delac0272,-1.0,residential,42
delac0273,-1.0,residential,31
delac0274,-1.0,residential,32
delac0275,-1.0,residential,22
delac0276,-1.0,residential,4
delac0277,-1.0,,3
delac0278,1.0,,1
delac0279,-1.0,residential,20
delac0280,-1.0,residential,23
delac0281,-1.0,residential,25
delac0289,-1.0,residential,34
delac0290,-1.0,residential,32
delac0291,-1.0,residential,28
delac0292,-1.0,residential,31
delac0293,-1.0,residential,46
delac0294,-1.0,residential,49
delac0295,-1.0,residential,14
delac0296,-1.0,residential,21
delac0297,-1.0,,7
delac0298,-1.0,residential,21
delac0299,-1.0,residential,16
delac0300,-1.0,residential,25
delac0301,-1.0,residential,14
delac0302,-1.0,residential,24
delac0303,-1.0,residential,30
delac0304,-1.0,residential,18
delac0305,-1.0,residential,37
delac0306,-1.0,residential,41
delac0308,-1.0,residential,5
delac0310,-1.0,residential,18
delac0311,-1.0,residential,29
delac0312,-1.0,residential,24
delac0313,-1.0,residential,20
delac0314,-1.0,residential,24
delac0315,-1.0,residential,36
delac0316,-1.0,residential,20
delac0317,-1.0,residential,26
delac0318,-1.0,residential,29
delac0319,-1.0,residential,24
delac0320,-1.0,residential,27
delac0321,-1.0,residential,16
delac0322,-1.0,residential,14
delac0323,-1.0,residential,16
delac0324,-1.0,residential,23
delac0325,-1.0,,7
delac0326,-1.0,residential,11
delac0327,-1.0,,11
delac0328,1.0,residential,96
delac0329,-1.0,residential,126
delac0330,-1.0,residential,113
delac0331,-1.0,residential,21
delac0332,-1.0,residential,12
delac0333,-1.0,residential,30
delac0334,-1.0,residential,26
delac0336,-1.0,residential,30
delac0337,-1.0,residential,133
delac0338,-1.0,residential,143
delac0339,-1.0,residential,148
delac0340,-1.0,residential,40
delac0341,-1.0,residential,33
delac0342,-1.0,residential,34
delac0343,-1.0,residential,30
delac0344,-1.0,residential,33
delac0345,-1.0,residential,25
delac0346,-1.0,residential,39
delac0347,-1.0,residential,37
delac0348,-1.0,residential,33
delac0349,-1.0,residential,35
delac0350,-1.0,residential,43
delac0351,-1.0,residential,33
delac0352,-1.0,residential,25
delac0353,-1.0,residential,17
delac0354,-1.0,residential,12
delac0355,-1.0,residential,22
delac0356,-1.0,residential,32
delac0357,-1.0,residential,15
delac0358,-1.0,residential,26
delac0359,-1.0,residential,18
delac0360,-1.0,residential,31
delac0361,-1.0,residential,5
delac0362,-1.0,residential,30
delac0363,-1.0,residential,25
delac0364,-1.0,,6
delac0365,-1.0,residential,7
delac0366,-1.0,residential,9
delac0367,-1.0,residential,38
delac0368,-1.0,residential,35
delac0369,-1.0,residential,23
delac0370,-1.0,residential,21
delac0371,-1.0,residential,34
delac0372,-1.0,residential,15
delac0373,-1.0,residential,51
delac0374,-1.0,residential,43
delac0375,-1.0,residential,36
delac0376,-1.0,residential,74
delac0377,-1.0,residential,77
delac0378,-1.0,residential,51
delac0379,-1.0,residential,15
delac0380,-1.0,residential,16
delac0381,-1.0,residential,9
delac0382,-1.0,residential,31
delac0383,-1.0,residential,24
delac0384,-1.0,residential,33
delac0385,-1.0,residential,44
delac0386,-1.0,residential,37
delac0387,-1.0,residential,14
delac0388,-1.0,residential,31
delac0389,-1.0,residential,44
delac0390,-1.0,residential,48
delac0391,-1.0,residential,17
delac0392,-1.0,residential,38
delac0393,-1.0,residential,38
delac0394,-1.0,residential,18
delac0395,-1.0,residential,28
delac0396,-1.0,residential,19
delac0397,-1.0,residential,38
delac0398,-1.0,residential,23
delac0399,-1.0,residential,27
delac0400,-1.0,residential,33
delac0401,-1.0,residential,19
delac0402,-1.0,residential,22
delac0403,-1.0,residential,44
delac0404,-1.0,residential,36
delac0405,-1.0,residential,33
delac0406,-1.0,residential,22
delac0407,-1.0,residential,34
delac0408,-1.0,residential,12
delac0409,-1.0,residential,28
delac0410,-1.0,residential,32
delac0411,-1.0,residential,29
delac0412,-1.0,residential,30
delac0413,-1.0,residential,28
delac0414,-1.0,residential,23
delac0415,-1.0,residential,42
delac0416,-1.0,residential,47
delac0417,-1.0,residential,51
delac0418,-1.0,residential,44
delac0419,-1.0,residential,44
delac0420,-1.0,residential,52
delac0421,-1.0,residential,8
delac0422,-1.0,,2
delac0423,-1.0,residential,3
delac0424,-1.0,residential,48
delac0425,-1.0,residential,50
delac0426,-1.0,residential,46
delac0427,-1.0,residential,9
delac0428,-1.0,residential,33
delac0429,-1.0,residential,14
delac0430,-1.0,residential,33
delac0431,-1.0,residential,36
delac0432,-1.0,residential,33
delac0433,-1.0,residential,63
delac0434,-1.0,residential,51
delac0435,-1.0,residential,61
delac0436,-1.0,residential,29
delac0437,-1.0,residential,21
delac0438,-1.0,residential,30
delac0439,-1.0,residential,16
delac0440,-1.0,residential,22
delac0441,-1.0,residential,34
delac0442,-1.0,residential,15
delac0443,-1.0,residential,30
delac0444,-1.0,residential,27
delac0445,-1.0,residential,25
delac0446,-1.0,residential,27
delac0447,-1.0,residential,20
delac0448,-1.0,residential,19
delac0449,-1.0,residential,36
delac0450,-1.0,residential,26
delac0451,-1.0,residential,37
delac0452,-1.0,residential,33
delac0453,-1.0,residential,38
delac0460,-1.0,residential,40
delac0461,-1.0,residential,34
delac0462,-1.0,residential,51
delac0463,-1.0,residential,37
delac0475,-1.0,residential,19
delac0476,-1.0,residential,20
delac0477,-1.0,,14
delac0478,-1.0,residential,28
delac0479,-1.0,residential,31
delac0480,-1.0,residential,11
delac0481,-1.0,residential,3
delac0483,-1.0,residential,9
delac0485,-1.0,residential,73
delac0486,-1.0,residential,64
delac0487,-1.0,residential,40
jaal51j012,-1.0,residential,24
jaal51j034,-1.0,residential,20
scac0001,-1.0,residential,100
scac0002,-1.0,residential,106
scac0003,-1.0,residential,90
scac0004,-1.0,residential,29
scac0005,-1.0,residential,29
scac0006,-1.0,residential,33
scac0007,-1.0,residential,44
scac0008,-1.0,residential,37
scac0009,-1.0,residential,35
scac0010,-1.0,residential,23
scac0011,-1.0,residential,19
scac0012,-1.0,residential,14
scac0013,-1.0,residential,23
scac0014,-1.0,residential,14
scac0015,-1.0,residential,31
scac0016,-1.0,industrial,156
scac0017,-1.0,industrial,118
scac0018,-1.0,industrial,175
scac0019,-1.0,residential,39
scac0020,-1.0,residential,87
scac0021,-1.0,residential,100
scac0022,-1.0,residential,12
scac0023,-1.0,residential,17
scac0024,-1.0,residential,23
scac0025,-1.0,industrial,13
scac0026,-1.0,residential,21
scac0027,-1.0,residential,16
scac0028,-1.0,residential,20
scac0029,-1.0,residential,25
scac0030,-1.0,residential,21
scac0031,-1.0,residential,21
scac0032,-1.0,residential,13
scac0033,1.0,residential,12
scac0034,-1.0,residential,24
scac0035,-1.0,residential,27
scac0036,-1.0,residential,19
scac0037,-1.0,residential,28
scac0038,-1.0,residential,32
scac0039,-1.0,residential,35
scac0040,-1.0,residential,11
scac0041,-1.0,residential,12
scac0042,-1.0,residential,11
scac0044,-1.0,residential,17
scac0045,-1.0,residential,11
scac0046,-1.0,residential,90
scac0047,-1.0,residential,81
scac0048,-1.0,residential,82
scac0049,-1.0,residential,27
scac0050,-1.0,residential,44
scac0051,-1.0,residential,27
scac0052,-1.0,residential,51
scac0053,-1.0,residential,161
scac0054,-1.0,residential,147
scac0055,-1.0,residential,15
scac0056,-1.0,residential,13
scac0057,-1.0,,13
scac0058,-1.0,residential,15
scac0059,-1.0,residential,28
scac0060,-1.0,residential,17
scac0061,-1.0,residential,17
scac0062,-1.0,residential,17
scac0063,-1.0,residential,10
scac0064,-1.0,residential,22
scac0065,-1.0,residential,17
scac0066,-1.0,residential,12
scac0067,-1.0,residential,17
scac0068,-1.0,residential,19
scac0069,-1.0,residential,18
scac0070,-1.0,residential,124
scac0071,-1.0,residential,203
scac0072,-1.0,residential,180
scac0073,-1.0,residential,58
scac0074,-1.0,residential,66
scac0075,-1.0,residential,33
scac0076,-1.0,residential,32
scac0077,-1.0,residential,22
scac0078,-1.0,residential,34
scac0079,-1.0,residential,19
scac0080,-1.0,residential,17
scac0081,-1.0,residential,5
scac0082,-1.0,residential,50
scac0083,-1.0,residential,68
