CustomerId,primary_persona,existing_secondary_persona,frequent_charger_count,charger_ids,dominant_primary_mode,primary_mode_diversity,dominant_secondary_mode,secondary_mode_diversity,dominant_category,category_diversity,avg_charger_popularity,total_landmarks,total_sessions,avg_session_duration,avg_energy_consumption,weekend_ratio,peak_hour,loyalty_score,zone_diversity,primary_zone
00HLAS76E7,regular,other,1,['scdc0003'],noise,1,other,1,other,1.0,335.0,1.0,10,0.6285555555555555,22.6171,0.2,13.0,0.8,2,Central
0434C50AD86380,regular,residential,1,['scac0154'],noise,1,residential,1,residential,1.0,16.0,1.0,20,2.7673194444444453,22.47775,0.15,16.0,0.6500000000000001,1,West
04493232C05B85,noise,other,2,"['scdc0006', 'scdc0012']",regular,1,other,1,other,1.0,719.5,2.0,119,0.6603781512605043,22.621352941176468,0.23529411764705882,23.0,0.3361344537815125,4,East
045FFA0AD86380,regular,other,1,['scdc0021'],regular,1,other,1,other,1.0,444.0,1.0,1,0.5397222222222222,25.261,0.0,15.0,1.0,1,North
0490C70AD86380,regular,other,2,"['scdc0023', 'scdc0006']",regular,1,tech_park,2,tech_park,2.0,339.5,2.0,6,0.5318055555555555,16.006999999999998,0.16666666666666666,1.0,0.3333333333333333,3,East
04948A12126884,regular,other,2,"['scdc0003', 'scdc0004']",noise,1,other,1,other,1.0,314.0,2.0,36,0.45942901234567896,13.381944444444446,0.3055555555555556,22.0,0.7222222222222221,3,Central
04CAD732C05B80,regular,other,1,['scdc0021'],regular,1,other,1,other,1.0,444.0,1.0,3,0.7081481481481481,24.730666666666668,0.0,12.0,0.6666666666666666,2,North
04F42B0AD86380,regular,residential,1,['scac0059'],regular,1,residential,1,residential,1.0,28.0,1.0,3,3.340925925925926,21.363333333333333,0.0,15.0,1.0,1,North
0A809933,noise,other,1,['akw232100005ad'],noise,1,other,1,other,1.0,239.0,1.0,50,0.7152944444444443,27.119939999999996,0.1,10.0,1.0,1,East
0G5O9F1V60,regular,shopping_mall,1,['DelDC0006'],regular,1,shopping_mall,1,shopping_mall,1.0,198.0,1.0,70,0.8843769841269841,32.044642857142854,0.32857142857142857,18.0,0.31428571428571417,3,North
1JTT5LXPG9,regular,residential,13,"['wbac0214', 'delac0046', 'delac0395', 'delac0225', 'delac0027', 'delac0479', 'wbac0283', 'delac0334', 'scdc0005', 'scac0001', 'delac0164', 'delac0449', 'delac0081']",regular,2,residential,3,residential,3.0,72.0,13.0,13,14.554123931623932,31.026538461538465,0.3076923076923077,1.0,0.07692307692307689,4,North
1T87I1OOPM,regular,residential,1,['DELDC0014'],regular,1,residential,1,residential,1.0,59.0,1.0,16,0.6745138888888889,26.384,0.0,15.0,0.4375,2,West
201MJ21NNS,regular,residential,1,['SCAC0350'],regular,1,residential,1,residential,1.0,23.0,1.0,8,6.384027777777778,19.3885,0.875,23.0,0.25,3,West
2035526,regular,shopping_mall,1,['delac0298'],noise,1,shopping_mall,1,shopping_mall,1.0,21.0,1.0,11,4.185530303030302,30.93254545454545,0.5454545454545454,11.0,0.7272727272727273,3,West
2035846,regular,other,1,['scdc0011'],regular,1,other,1,other,1.0,222.0,1.0,1,0.0513888888888888,3.24,0.0,15.0,1.0,1,Central
2046662,regular,shopping_mall,1,['warn21090006'],regular,1,shopping_mall,1,shopping_mall,1.0,473.0,1.0,2,0.49624999999999997,12.047,0.0,11.0,1.0,1,Central
2056496,regular,other,1,['wbac0124'],regular,1,other,1,other,1.0,68.0,1.0,11,2.845681818181818,3.9746363636363644,0.18181818181818182,10.0,0.8181818181818182,2,Central
2070758,regular,residential,2,"['delac0067', 'delac0066']",regular,1,residential,1,residential,1.0,54.5,2.0,2,8.395833333333332,20.442500000000003,0.0,22.0,1.0,1,Central
2097764,regular,other,2,"['delac0006', 'scdc0002']",regular,2,residential,2,residential,2.0,63.0,2.0,2,3.2751388888888893,36.197,1.0,14.0,0.5,2,East
2101165,regular,residential,1,['delac0024'],regular,1,residential,1,residential,1.0,57.0,1.0,4,11.208055555555557,51.672000000000004,0.25,19.0,1.0,1,West
