CustomerId,primary_persona,secondary_persona,llm_secondary_persona,secondary_persona_llm
00HLAS76E7,regular,other,Mall Route Charger,Mall Route Charger
0434C50AD86380,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
04493232C05B85,noise,other,Mall Route Navigator,Mall Route Navigator
045FFA0AD86380,regular,other,Mall Route Charger,Mall Route Charger
0490C70AD86380,regular,other,Tech Park Navigator,Tech Park Navigator
04948A12126884,regular,other,Urban Hub Charger,Urban Hub Charger
04CAD732C05B80,regular,other,Mall Route Charger,Mall Route Charger
04F42B0AD86380,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
0A809933,noise,other,Mall Frequent Charger,Mall Frequent Charger
0G5O9F1V60,regular,shopping_mall,Mall Momentum Driver,Mall Momentum Driver
1JTT5LXPG9,regular,residential,Suburban Home Hub,Suburban Home Hub
1T87I1OOPM,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
201MJ21NNS,regular,residential,Suburban Home Hub,Suburban Home Hub
2035526,regular,shopping_mall,Mall Navigator,Mall Navigator
2035846,regular,other,Urban Hub Charger,Urban Hub Charger
2046662,regular,shopping_mall,Mall Navigator,Mall Navigator
2056496,regular,other,Mall Route Charger,Mall Route Charger
2070758,regular,residential,Suburban Home Charger,Suburban Home Charger
2097764,regular,other,Suburban Home Charger,Suburban Home Charger
2101165,regular,residential,Suburban Home Charger,Suburban Home Charger
2122938,regular,residential,Suburban Home Charger,Suburban Home Charger
2124453,regular,residential,Suburban Home Charger,Suburban Home Charger
2124544,regular,shopping_mall,Mall Navigator,Mall Navigator
2146130,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2160228,regular,residential,Suburban Home Charger,Suburban Home Charger
2161121,regular,other,Urban Hub Navigator,Urban Hub Navigator
2175193,regular,residential,Suburban Home Hub,Suburban Home Hub
2190093,regular,other,Regional Hub Charger,Regional Hub Charger
2219061,regular,school,Campus Commuter,Campus Commuter
2226849,regular,residential,Home-Neighborhood Routemaker,Home-Neighborhood Routemaker
2226939,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2228228,regular,residential,Suburban Home Charger,Suburban Home Charger
2239147,regular,other,Urban Explorer Hub,Urban Explorer Hub
2239860,regular,residential,Suburban Home Hub,Suburban Home Hub
2240397,regular,residential,Suburban Home Charger,Suburban Home Charger
2241958,regular,residential,Home-Neighborhood Charger,Home-Neighborhood Charger
2251237,regular,residential,Suburban Home Charger,Suburban Home Charger
2255323,regular,other,Mall Route Navigator,Mall Route Navigator
2259416,noise,other,Mall Route Charger,Mall Route Charger
2260631,regular,residential,Home-Neighborhood Navigator,Home-Neighborhood Navigator
2267381,regular,other,Mall Route Charger,Mall Route Charger
2268563,regular,residential,Home-Neighborhood Charger,Home-Neighborhood Charger
2272090,noise,residential,Neighborhood Home Charger,Neighborhood Home Charger
2275831,regular,other,Urban Circuit Rider,Urban Circuit Rider
2279112,noise,other,Mall Route Charger,Mall Route Charger
2279151,regular,other,Regional Hub Charger,Regional Hub Charger
2293688,regular,other,Mall Route Charger,Mall Route Charger
2293693,regular,other,Urban Mall Navigator,Urban Mall Navigator
2296826,regular,school,Campus Commuter Route,Campus Commuter Route
2296832,regular,residential,Home-Base Suburban Charger,Home-Base Suburban Charger
2297882,regular,other,Urban Explorer Hub,Urban Explorer Hub
2300142,regular,residential,Suburban Home Charger,Suburban Home Charger
2302644,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2318621,regular,other,Urban Hub Navigator,Urban Hub Navigator
2318661,regular,other,Urban Mall Navigator,Urban Mall Navigator
2323201,regular,residential,Suburban Home Charger,Suburban Home Charger
2328437,regular,other,Mall Route Charger,Mall Route Charger
2331521,regular,residential,Suburban Home Charger,Suburban Home Charger
2334821,regular,shopping_mall,Mall Route Navigator,Mall Route Navigator
2335483,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2338881,regular,other,Mall Route Charger,Mall Route Charger
2339919,regular,shopping_mall,Mall Momentum Driver,Mall Momentum Driver
2342803,regular,other,Urban Explorer Charger,Urban Explorer Charger
2348932,regular,shopping_mall,Mall Navigator,Mall Navigator
2352820,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2352910,regular,shopping_mall,Mall Route Navigator,Mall Route Navigator
2353682,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2366457,regular,residential,Suburban Home Charger,Suburban Home Charger
2366557,regular,residential,Home-Base Suburban Charger,Home-Base Suburban Charger
2368734,regular,residential,Suburban Home Hub,Suburban Home Hub
2370920,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2371264,regular,residential,Suburbia Home Charger,Suburbia Home Charger
2371836,regular,residential,Suburban Home Charger,Suburban Home Charger
2379174,regular,residential,Home-Base Suburban Charger,Home-Base Suburban Charger
2379211,regular,other,Regional Hub Charger,Regional Hub Charger
2380706,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2380725,regular,residential,Suburban Home Charger,Suburban Home Charger
2388922,regular,residential,Suburban Home Charger,Suburban Home Charger
2393019,regular,other,Mall Route Charger,Mall Route Charger
2401150,regular,other,Mall Route Charger,Mall Route Charger
2405337,regular,tech_park,Tech Park Connector,Tech Park Connector
2408597,regular,residential,Home-Neighborhood Navigator,Home-Neighborhood Navigator
2412374,regular,shopping_mall,Mall Momentum Driver,Mall Momentum Driver
2420359,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2431586,regular,shopping_mall,Mall Momentum Max,Mall Momentum Max
2437635,regular,residential,Suburban Home Charger,Suburban Home Charger
2440848,noise,residential,Neighborhood Home Charger,Neighborhood Home Charger
2440861,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2440867,regular,other,Mall Route Charger,Mall Route Charger
2440870,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2441312,regular,other,Urban Mall Navigator,Urban Mall Navigator
2441361,regular,other,Urban Circuit Rider,Urban Circuit Rider
2441423,regular,other,Urban Explorer Hub,Urban Explorer Hub
2441437,noise,other,Mall Circuit Rider,Mall Circuit Rider
2441533,regular,other,Regional Hub Charger,Regional Hub Charger
2441712,regular,other,Mall Route Charger,Mall Route Charger
2443459,regular,residential,Suburban Home Hub,Suburban Home Hub
2446329,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2448202,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2448212,regular,residential,Neighborhood Home Charger,Neighborhood Home Charger
2448686,regular,other,Suburban Home Hub,Suburban Home Hub
2450304,regular,shopping_mall,Mall Navigator,Mall Navigator
2453014,regular,tech_park,Tech Park Navigator,Tech Park Navigator
2458802,regular,other,Mall Route Charger,Mall Route Charger
2461955,regular,other,Urban Hub Charger,Urban Hub Charger
2462115,regular,residential,Suburban Home Charger,Suburban Home Charger
