DATE,PERIOD,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,cloudcover (%),shortwave_radiation (W/m^2¡¤h)
2024/1/1,1,25,25,100,0,,21,3.6,,1011,,3,100,0
2024/1/1,2,25,25,100,0,,21,3.6,,1011,,3,100,0
2024/1/1,3,25,25,100,0,,21,3.6,,1011,,3,100,0
2024/1/1,4,25.5,25,97,0,,24,2.7,,1010.5,,3,100,0
2024/1/1,5,26,25,94,0,,27,1.8,,1010,,3,100,0
2024/1/1,6,26,25,94,0,,23,2.7,,1009.5,,3,100,0
2024/1/1,7,26,25,94,0,,19,3.6,,1009,,3,100,0
2024/1/1,8,26,25,94,0,,14.5,5.6,,1009,,3,100,0
2024/1/1,9,26,25,94,0,,10,7.6,,1009,,3,100,0
2024/1/1,10,26,25,94,0,,175,5.6,,1009,,3,100,0
2024/1/1,11,26,25,94,0,,340,3.6,,1009,,3,100,0
2024/1/1,12,26,25,94,0.05,,175.5,3.6,,1009,,5,100,0
2024/1/1,13,26,25,94,0.1,,11,3.6,,1009,,7,100,0
2024/1/1,14,26,24.5,91.5,0.05,,15.5,5.6,,1009.5,,5,100,0
2024/1/1,15,26,24,89,0,,20,7.6,,1010,,3,100,0
2024/1/1,16,26,24.5,91.5,0,,30,6.5,,1010,,3,100,17
2024/1/1,17,26,25,94,0,,40,5.4,,1010,,3,100,34
2024/1/1,18,26,25,94,0,,195,5.4,,1010.5,,3,100,73.5
2024/1/1,19,26,25,94,0,,350,5.4,,1011,,3,100,113
2024/1/1,20,26.5,25,91.5,0.05,,350,5.4,,1011.5,,5,100,182
2024/1/1,21,27,25,89,0.1,,350,5.4,,1012,,7,100,251
2024/1/1,22,27,25,89,0.1,,192.5,4.5,,1012,,7,100,271.5
2024/1/1,23,27,25,89,0.1,,35,3.6,,1012,,7,100,292
2024/1/1,24,26.5,25,91.5,0.85,,182.5,4.5,,1011.5,,8,100,362.5
2024/1/1,25,26,25,94,1.6,,330,5.4,,1011,,9,100,433
2024/1/1,26,27,25,89,1.75,,195,7.4,,1011,,9,100,432.5
2024/1/1,27,28,25,84,1.9,,60,9.4,,1011,,9,100,432
2024/1/1,28,27,25,89,1.05,,55,8.5,,1010.5,,8,100,368
2024/1/1,29,26,25,94,0.2,,50,7.6,,1010,,7,100,304
2024/1/1,30,25.5,24.5,94,3.45,,90,8.5,,1010,,8,100,345.5
2024/1/1,31,25,24,94,6.7,,130,9.4,,1010,,9,100,387
2024/1/1,32,25,24.5,97,3.4,,90,10.3,,1009.5,,8,100,522.5
2024/1/1,33,25,25,100,0.1,,50,11.2,,1009,,7,100,658
2024/1/1,34,25,24.5,97,0.85,,60,10.3,,1009,,8,99.5,514
2024/1/1,35,25,24,94,1.6,,70,9.4,,1009,,9,99,370
2024/1/1,36,25,24,94,0.9,,49.5,6.5,,1009,,8,94.5,258
2024/1/1,37,25,24,94,0.2,,29,3.6,,1009,,7,90,146
2024/1/1,38,25,24,94,0.1,,34.5,4.5,,1009.5,,5,90,113.5
2024/1/1,39,25,24,94,0,,40,5.4,,1010,,3,90,81
2024/1/1,40,25,24,94,0,,30,9.2,,1010,,3,57.5,40.5
2024/1/1,41,25,24,94,0,,20,13,,1010,,3,25,0
2024/1/1,42,25,24,94,0,,30,11.2,,1010.5,,3,62.5,0
2024/1/1,43,25,24,94,0,,40,9.4,,1011,,3,100,0
2024/1/1,44,25,24,94,0,,30,10.3,,1011,,2.5,100,0
2024/1/1,45,25,24,94,0,,20,11.2,,1011,,2,100,0
2024/1/1,46,25,24.5,97,0,,40,10.3,,1011,,2.5,100,0
2024/1/1,47,25,25,100,0,,60,9.4,,1011,,3,100,0
