temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
26.0,24.0,89.0,0.0,,360.0,5.4,,1010.0,,3.0
26.5,24.05,86.5,0.0,,360.0,5.4,,1010.5,,3.0
27.0,24.1,84.0,0.0,,360.0,5.4,,1011.0,,3.0
27.5,24.05,81.5,0.0,,190.0,7.4,,1011.0,,3.0
28.0,24.0,79.0,0.0,,20.0,9.4,,1011.0,,3.0
29.0,23.95,74.5,0.0,,20.0,12.100000000000001,,1011.0,,3.0
30.0,23.9,70.0,0.0,,20.0,14.8,,1011.0,,3.0
30.0,23.9,70.0,0.0,,30.0,16.6,,1010.5,,3.0
30.0,23.9,70.0,0.0,,40.0,18.4,,1010.0,,3.0
30.0,23.9,70.0,0.1,,30.0,15.7,,1010.0,,5.0
30.0,23.9,70.0,0.2,,20.0,13.0,,1010.0,,7.0
29.5,23.9,72.0,0.15000000000000002,,60.0,10.3,,1009.5,,7.0
29.0,23.9,74.0,0.1,,100.0,7.6,,1009.0,,7.0
30.0,23.35,68.0,0.7499999999999999,,65.0,10.3,,1008.5,,8.0
31.0,22.8,62.0,1.4,,30.0,13.0,,1008.0,,9.0
29.5,23.9,73.0,1.6,,130.0,11.2,,1007.5,,9.0
28.0,25.0,84.0,1.8,,230.0,9.4,,1007.0,,9.0
26.5,25.0,92.0,1.9500000000000002,,175.0,10.3,,1007.0,,9.0
25.0,25.0,100.0,2.1,,120.0,11.2,,1007.0,,9.0
25.5,25.0,97.0,1.25,,231.0,7.3999999999999995,,1007.0,,8.5
26.0,25.0,94.0,0.4,,342.0,3.6,,1007.0,,8.0
26.0,25.0,94.0,0.25,,320.5,2.7,,1007.5,,7.5
26.0,25.0,94.0,0.1,,299.0,1.8,,1008.0,,7.0
26.0,25.0,94.0,0.05,,322.5,1.8,,1008.0,,5.0
26.0,25.0,94.0,0.0,,346.0,1.8,,1008.0,,3.0
26.5,24.55,89.0,0.0,,193.0,9.2,,1008.5,,3.0
27.0,24.1,84.0,0.0,,40.0,16.6,,1009.0,,3.0
27.0,24.1,84.0,0.0,,25.0,13.9,,1009.5,,3.0
27.0,24.1,84.0,0.0,,10.0,11.2,,1010.0,,3.0
27.0,24.1,84.0,0.0,,15.0,9.399999999999999,,1010.0,,3.0
27.0,24.1,84.0,0.0,,20.0,7.6,,1010.0,,3.0
27.0,24.1,84.0,0.0,,15.0,7.6,,1010.0,,3.0
27.0,24.1,84.0,0.0,,10.0,7.6,,1010.0,,3.0
26.5,24.05,86.5,0.0,,20.0,7.6,,1009.5,,3.0
26.0,24.0,89.0,0.0,,30.0,7.6,,1009.0,,3.0
26.0,24.0,89.0,0.0,,30.0,9.4,,1009.0,,3.0
26.0,24.0,89.0,0.0,,30.0,11.2,,1009.0,,3.0
25.5,24.0,91.5,0.0,,35.0,9.399999999999999,,1009.0,,3.0
25.0,24.0,94.0,0.0,,40.0,7.6,,1009.0,,3.0
25.5,24.0,91.5,0.0,,30.0,9.4,,1008.5,,3.0
26.0,24.0,89.0,0.0,,20.0,11.2,,1008.0,,3.0
26.0,24.0,89.0,0.0,,15.0,8.3,,1008.0,,3.0
26.0,24.0,89.0,0.0,,10.0,5.4,,1008.0,,3.0
26.0,24.0,89.0,0.0,,185.0,5.4,,1008.5,,3.0
26.0,24.0,89.0,0.0,,360.0,5.4,,1009.0,,3.0
25.5,24.0,91.5,0.0,,195.0,8.3,,1009.0,,3.0
25.0,24.0,94.0,0.0,,30.0,11.2,,1009.0,,3.0
25.5,24.0,91.5,0.0,,30.0,10.3,,1009.5,,3.0
26.0,24.0,89.0,0.0,,30.0,9.4,,1010.0,,3.0
26.5,24.05,86.5,0.0,,25.0,9.4,,1010.0,,3.0
27.0,24.1,84.0,0.0,,20.0,9.4,,1010.0,,3.0
28.0,24.0,79.0,0.0,,20.0,13.0,,1010.5,,3.0
29.0,23.9,74.0,0.0,,20.0,16.6,,1011.0,,3.0
29.5,23.4,70.0,0.0,,20.0,17.5,,1011.0,,3.0
30.0,22.9,66.0,0.0,,20.0,18.4,,1011.0,,3.0
30.0,22.9,66.0,0.05,,20.0,16.6,,1010.5,,10.0
30.0,22.9,66.0,0.1,,20.0,14.8,,1010.0,,17.0
30.5,23.4,66.0,0.2,,15.0,13.9,,1010.0,,17.0
31.0,23.9,66.0,0.3,,10.0,13.0,,1010.0,,17.0
30.5,23.4,66.0,3.1,,15.0,14.8,,1009.5,,13.0
30.0,22.9,66.0,5.9,,20.0,16.6,,1009.0,,9.0
30.5,22.85,64.0,8.3,,30.0,15.700000000000001,,1008.5,,13.5
31.0,22.8,62.0,10.7,,40.0,14.8,,1008.0,,18.0
30.5,22.85,64.0,5.8,,25.0,14.8,,1007.5,,17.5
30.0,22.9,66.0,0.9,,10.0,14.8,,1007.0,,17.0
30.0,22.9,66.0,0.5,,10.0,14.8,,1006.5,,17.0
30.0,22.9,66.0,0.1,,10.0,14.8,,1006.0,,17.0
29.5,22.95,68.0,0.05,,20.0,14.8,,1006.5,,9.5
29.0,23.0,70.0,0.0,,30.0,14.8,,1007.0,,2.0
29.0,23.0,70.0,0.0,,25.0,13.9,,1007.5,,2.5
29.0,23.0,70.0,0.0,,20.0,13.0,,1008.0,,3.0
28.0,23.0,74.5,0.0,,35.0,13.0,,1008.5,,3.0
27.0,23.0,79.0,0.0,,50.0,13.0,,1009.0,,3.0
27.0,23.55,81.5,0.0,,45.0,12.1,,1009.0,,3.0
27.0,24.1,84.0,0.0,,40.0,11.2,,1009.0,,3.0
27.0,24.1,84.0,0.0,,45.0,12.1,,1009.5,,3.0
27.0,24.1,84.0,0.0,,50.0,13.0,,1010.0,,3.0
27.0,24.1,84.0,0.0,,50.0,12.1,,1010.0,,3.0
27.0,24.1,84.0,0.0,,50.0,11.2,,1010.0,,3.0
26.5,24.05,86.5,0.0,,40.0,12.1,,1010.0,,3.0
26.0,24.0,89.0,0.0,,30.0,13.0,,1010.0,,3.0
26.0,24.0,89.0,0.0,,35.0,12.1,,1010.0,,3.0
26.0,24.0,89.0,0.0,,40.0,11.2,,1010.0,,3.0
26.0,24.0,89.0,0.0,,40.0,10.3,,1010.15,,3.0
26.0,24.0,89.0,0.0,,40.0,9.4,,1010.3,,3.0
26.0,24.0,89.0,0.0,,40.0,10.3,,1009.65,,3.0
26.0,24.0,89.0,0.0,,40.0,11.2,,1009.0,,3.0
26.0,24.0,89.0,0.0,,40.0,11.2,,1009.0,,3.0
26.0,24.0,89.0,0.0,,40.0,11.2,,1009.0,,3.0
25.5,24.0,91.5,0.0,,35.0,9.399999999999999,,1009.0,,2.5
25.0,24.0,94.0,0.0,,30.0,7.6,,1009.0,,2.0
25.5,24.0,91.5,0.0,,25.0,9.4,,1009.0,,2.5
26.0,24.0,89.0,0.0,,20.0,11.2,,1009.0,,3.0
26.0,24.0,89.0,0.0,,15.0,9.399999999999999,,1009.0,,3.0
26.0,24.0,89.0,0.0,,10.0,7.6,,1009.0,,3.0
26.0,24.0,89.0,0.0,,10.0,8.5,,1009.5,,3.0
26.0,24.0,89.0,0.0,,10.0,9.4,,1010.0,,3.0
26.5,24.05,86.5,0.0,,20.0,11.200000000000001,,1010.5,,3.0
27.0,24.1,84.0,0.0,,30.0,13.0,,1011.0,,3.0
28.0,24.0,79.0,0.0,,30.0,14.8,,1011.0,,2.0
29.0,23.9,74.0,0.0,,30.0,16.6,,1011.0,,1.0
30.0,23.9,70.0,0.0,,20.0,16.6,,1011.0,,2.0
31.0,23.9,66.0,0.0,,10.0,16.6,,1011.0,,3.0
31.0,23.35,64.0,0.0,,10.0,16.6,,1011.0,,3.0
31.0,22.8,62.0,0.0,,10.0,16.6,,1011.0,,3.0
31.5,23.950000000000003,64.5,0.0,,185.0,14.8,,1010.5,,3.0
32.0,25.1,67.0,0.0,,360.0,13.0,,1010.0,,3.0
31.0,24.5,68.5,0.65,,195.0,14.8,,1009.5,,6.0
30.0,23.9,70.0,1.3,,30.0,16.6,,1009.0,,9.0
30.5,23.35,66.0,1.0,,35.0,16.6,,1008.5,,8.5
31.0,22.8,62.0,0.7,,40.0,16.6,,1008.0,,8.0
30.0,23.9,70.5,0.6,,197.0,12.100000000000001,,1007.5,,8.0
29.0,25.0,79.0,0.5,,354.0,7.6,,1007.0,,8.0
29.5,23.95,72.5,0.8,,192.0,14.05,,1006.5,,8.5
30.0,22.9,66.0,1.1,,30.0,20.5,,1006.0,,9.0
30.0,22.9,66.0,0.55,,25.0,20.5,,1006.5,,6.0
30.0,22.9,66.0,0.0,,20.0,20.5,,1007.0,,3.0
29.5,22.45,66.0,0.0,,25.0,20.5,,1007.5,,3.0
29.0,22.0,66.0,0.0,,30.0,20.5,,1008.0,,3.0
29.0,22.0,66.0,0.0,,30.0,18.55,,1008.5,,3.0
29.0,22.0,66.0,0.0,,30.0,16.6,,1009.0,,3.0
28.5,22.45,70.0,0.0,,25.0,17.5,,1009.0,,2.5
28.0,22.9,74.0,0.0,,20.0,18.4,,1009.0,,2.0
28.0,22.9,74.0,0.0,,20.0,14.799999999999999,,1009.5,,1.5
28.0,22.9,74.0,0.0,,20.0,11.2,,1010.0,,1.0
27.5,23.5,79.0,0.0,,20.0,10.3,,1010.0,,1.0
27.0,24.1,84.0,0.0,,20.0,9.4,,1010.0,,1.0
27.0,24.1,84.0,0.0,,15.0,11.200000000000001,,1010.0,,2.0
27.0,24.1,84.0,0.0,,10.0,13.0,,1010.0,,3.0
27.0,24.1,84.0,0.0,,182.0,8.3,,1010.0,,3.0
27.0,24.1,84.0,0.0,,354.0,3.6,,1010.0,,3.0
27.0,24.1,84.0,0.0,,356.0,3.6,,1010.0,,3.0
27.0,24.1,84.0,0.0,,358.0,3.6,,1010.0,,3.0
27.0,24.1,84.0,0.0,,189.0,5.6,,1009.5,,3.0
27.0,24.1,84.0,0.0,,20.0,7.6,,1009.0,,3.0
26.5,24.05,86.5,0.0,,20.0,6.5,,1009.0,,3.0
26.0,24.0,89.0,0.0,,20.0,5.4,,1009.0,,3.0
26.0,24.5,91.5,0.0,,25.0,7.4,,1008.5,,3.0
26.0,25.0,94.0,0.0,,30.0,9.4,,1008.0,,3.0
26.0,24.5,91.5,0.0,,25.0,7.4,,1008.0,,3.0
26.0,24.0,89.0,0.0,,20.0,5.4,,1008.0,,3.0
26.0,24.0,89.0,0.0,,10.0,2.7,,1008.5,,2.5
26.0,24.0,89.0,0.0,,0.0,0.0,,1009.0,,2.0
26.0,24.0,89.0,0.0,,162.0,1.8,,1009.5,,2.0
26.0,24.0,89.0,0.0,,324.0,3.6,,1010.0,,2.0
27.0,24.0,84.0,0.0,,172.0,8.3,,1010.0,,2.5
28.0,24.0,79.0,0.0,,20.0,13.0,,1010.0,,3.0
28.0,24.0,79.0,0.0,,185.0,12.1,,1010.5,,3.0
28.0,24.0,79.0,0.0,,350.0,11.2,,1011.0,,3.0
29.0,23.95,74.5,0.0,,185.0,15.85,,1011.0,,3.0
30.0,23.9,70.0,0.0,,20.0,20.5,,1011.0,,3.0
30.0,23.4,68.0,0.05,,20.0,20.5,,1010.5,,5.0
30.0,22.9,66.0,0.1,,20.0,20.5,,1010.0,,7.0
29.0,23.95,75.0,0.05,,25.0,18.55,,1010.0,,5.0
28.0,25.0,84.0,0.0,,30.0,16.6,,1010.0,,3.0
28.5,25.0,81.5,2.25,,25.0,18.55,,1010.0,,6.0
29.0,25.0,79.0,4.5,,20.0,20.5,,1010.0,,9.0
30.0,24.45,72.5,3.05,,15.0,21.4,,1009.0,,9.0
31.0,23.9,66.0,1.6,,10.0,22.3,,1008.0,,9.0
31.0,23.35,64.0,0.8500000000000001,,10.0,21.4,,1008.0,,8.0
31.0,22.8,62.0,0.1,,10.0,20.5,,1008.0,,7.0
30.5,23.35,66.0,1.35,,10.0,18.55,,1007.5,,12.5
30.0,23.9,70.0,2.6,,10.0,16.6,,1007.0,,18.0
29.5,23.45,70.0,1.55,,15.0,19.450000000000003,,1007.5,,17.5
29.0,23.0,70.0,0.5,,20.0,22.3,,1008.0,,17.0
28.5,23.5,74.5,0.25,,25.0,21.4,,1008.5,,10.0
28.0,24.0,79.0,0.0,,30.0,20.5,,1009.0,,3.0
28.0,24.0,79.0,0.0,,25.0,19.45,,1009.0,,3.0
28.0,24.0,79.0,0.0,,20.0,18.4,,1009.0,,3.0
27.5,24.05,81.5,0.0,,25.0,17.5,,1009.5,,3.0
27.0,24.1,84.0,0.0,,30.0,16.6,,1010.0,,3.0
27.0,24.1,84.0,0.0,,25.0,14.8,,1010.5,,2.5
27.0,24.1,84.0,0.0,,20.0,13.0,,1011.0,,2.0
27.0,24.1,84.0,0.0,,20.0,12.1,,1011.0,,2.5
27.0,24.1,84.0,0.0,,20.0,11.2,,1011.0,,3.0
27.0,24.1,84.0,0.0,,15.0,10.3,,1011.0,,3.0
27.0,24.1,84.0,0.0,,10.0,9.4,,1011.0,,3.0
27.0,24.1,84.0,0.0,,10.0,10.3,,1011.0,,3.0
27.0,24.1,84.0,0.0,,10.0,11.2,,1011.0,,3.0
26.5,24.05,86.5,0.0,,15.0,11.2,,1010.5,,3.0
26.0,24.0,89.0,0.0,,20.0,11.2,,1010.0,,3.0
26.0,24.0,89.0,0.0,,20.0,12.1,,1009.5,,3.0
26.0,24.0,89.0,0.0,,20.0,13.0,,1009.0,,3.0
26.0,24.0,89.0,0.0,,30.0,13.9,,1009.0,,3.0
26.0,24.0,89.0,0.0,,40.0,14.8,,1009.0,,3.0
26.0,24.0,89.0,0.0,,30.0,13.9,,1009.0,,2.5
26.0,24.0,89.0,0.0,,20.0,13.0,,1009.0,,2.0
26.0,24.0,89.0,0.0,,20.0,12.1,,1009.0,,2.0
26.0,24.0,89.0,0.0,,20.0,11.2,,1009.0,,2.0
26.0,24.0,89.0,0.0,,15.0,10.3,,1009.5,,2.0
26.0,24.0,89.0,0.0,,10.0,9.4,,1010.0,,2.0
26.0,24.0,89.0,0.0,,20.0,9.4,,1010.0,,1.5
26.0,24.0,89.0,0.0,,30.0,9.4,,1010.0,,1.0
26.5,24.05,86.5,0.0,,195.0,8.5,,1010.5,,1.0
27.0,24.1,84.0,0.0,,360.0,7.6,,1011.0,,1.0
27.5,24.05,81.5,0.0,,190.0,14.05,,1011.5,,2.0
28.0,24.0,79.0,0.0,,20.0,20.5,,1012.0,,3.0
29.0,23.95,74.5,0.05,,20.0,19.45,,1011.5,,5.0
30.0,23.9,70.0,0.1,,20.0,18.4,,1011.0,,7.0
30.0,23.9,70.0,0.2,,15.0,17.5,,1011.0,,12.0
30.0,23.9,70.0,0.3,,10.0,16.6,,1011.0,,17.0
30.5,23.9,68.0,0.15,,15.0,16.6,,1010.5,,10.0
31.0,23.9,66.0,0.0,,20.0,16.6,,1010.0,,3.0
31.5,24.0,64.5,0.0,,20.0,17.5,,1009.5,,3.0
32.0,24.1,63.0,0.0,,20.0,18.4,,1009.0,,3.0
32.0,24.1,63.0,0.05,,20.0,20.349999999999998,,1008.5,,5.0
32.0,24.1,63.0,0.1,,20.0,22.3,,1008.0,,7.0
31.5,24.0,64.5,0.30000000000000004,,20.0,23.200000000000003,,1007.5,,7.5
31.0,23.9,66.0,0.5,,20.0,24.1,,1007.0,,8.0
30.5,23.9,68.0,0.55,,20.0,22.3,,1007.0,,8.0
30.0,23.9,70.0,0.6,,20.0,20.5,,1007.0,,8.0
29.0,23.95,74.5,0.7,,25.0,22.3,,1007.5,,12.5
28.0,24.0,79.0,0.8,,30.0,24.1,,1008.0,,17.0
28.0,23.45,76.5,0.6000000000000001,,30.0,21.25,,1008.0,,17.0
28.0,22.9,74.0,0.4,,30.0,18.4,,1008.0,,17.0
27.5,22.95,76.5,0.2,,30.0,18.4,,1008.5,,10.0
27.0,23.0,79.0,0.0,,30.0,18.4,,1009.0,,3.0
27.0,23.0,79.0,0.0,,30.0,17.5,,1009.5,,3.0
27.0,23.0,79.0,0.0,,30.0,16.6,,1010.0,,3.0
27.0,23.0,79.0,0.0,,30.0,17.5,,1010.5,,2.5
27.0,23.0,79.0,0.0,,30.0,18.4,,1011.0,,2.0
27.0,23.55,81.5,0.0,,25.0,17.5,,1011.0,,2.5
27.0,24.1,84.0,0.0,,20.0,16.6,,1011.0,,3.0
27.0,24.1,84.0,0.0,,20.0,15.700000000000001,,1011.0,,3.0
27.0,24.1,84.0,0.0,,20.0,14.8,,1011.0,,3.0
26.5,24.05,86.5,0.0,,25.0,14.8,,1010.5,,3.0
26.0,24.0,89.0,0.0,,30.0,14.8,,1010.0,,3.0
26.5,24.05,86.5,0.0,,25.0,14.8,,1010.0,,3.0
27.0,24.1,84.0,0.0,,20.0,14.8,,1010.0,,3.0
26.5,24.05,86.5,0.0,,20.0,14.8,,1009.5,,3.0
26.0,24.0,89.0,0.0,,20.0,14.8,,1009.0,,3.0
26.0,24.0,89.0,0.0,,20.0,16.6,,1009.0,,3.0
26.0,24.0,89.0,0.0,,20.0,18.4,,1009.0,,3.0
26.0,24.0,89.0,0.0,,20.0,16.6,,1009.0,,3.0
26.0,24.0,89.0,0.0,,20.0,14.8,,1009.0,,3.0
26.0,24.0,89.0,0.0,,25.0,14.8,,1009.0,,3.0
26.0,24.0,89.0,0.0,,30.0,14.8,,1009.0,,3.0
26.0,24.0,89.0,0.0,,25.0,13.9,,1009.5,,3.0
26.0,24.0,89.0,0.0,,20.0,13.0,,1010.0,,3.0
26.5,24.05,86.5,0.0,,20.0,12.1,,1010.0,,3.0
27.0,24.1,84.0,0.0,,20.0,11.2,,1010.0,,3.0
